WO_ID,Date,Equipment_Tag,Type,Problem_Text,Action_Text,Technician,Downtime_Hrs,Status
WO-1498,2026-05-03,E-301,preventive,dp hi susp choke,"chkd, cln plan raised",R. Sharma,3,closed
WO-1274,2026-05-09,E-301,preventive,routine pm as per schedule,"completed, no abnrml found",V. Reddy,4,closed
WO-1098,2026-05-11,P-101B,preventive,cln unit exterior,cleaned,J. Patel,2,closed
WO-1209,2026-05-13,T-401,preventive,tag/label refresh,relabelled,R. Sharma,4,closed
WO-1380,2026-05-16,E-301,preventive,dp hi susp choke,"chkd, cln plan raised",V. Reddy,4,closed
WO-1028,2026-05-18,V-201,preventive,lube top-up,"greased, ok",P. Nair,3,closed
WO-1166,2026-05-19,V-201,preventive,spares availability chk,verified in store,K. Menon,3,closed
WO-1161,2026-05-22,PT-108,preventive,housekeeping round,area cleaned,T. Bose,0,closed
WO-1342,2026-05-22,T-401,corrective,routine insp,no abnrml found,P. Nair,0,closed
WO-1243,2026-05-24,FV-112,preventive,spares availability chk,verified in store,S. Iyer,6,closed
WO-1355,2026-05-24,E-301,preventive,spares availability chk,verified in store,A. Khan,12,closed
WO-1255,2026-05-26,FV-112,preventive,housekeeping round,area cleaned,V. Reddy,1,closed
WO-1582,2026-05-28,V-201,preventive,relief vlv insp due,relief vlv tested ok,M. Das,0,closed
WO-1020,2026-05-30,FV-112,preventive,spares availability chk,verified in store,V. Reddy,3,closed
WO-1177,2026-05-30,E-301,preventive,condition monitoring reading,"reading normal, filed",V. Reddy,4,closed
WO-1469,2026-05-31,V-201,preventive,level gauge foggy,cln level gauge,P. Nair,1,closed
WO-1055,2026-06-09,FV-112,preventive,paint touch-up,done,A. Khan,3,closed
WO-1438,2026-06-13,T-401,preventive,spares availability chk,verified in store,M. Das,12,closed
WO-1272,2026-06-19,FV-112,preventive,6-monthly insp,"insp ok, within limit",R. Sharma,6,closed
WO-1290,2026-06-30,P-101B,preventive,fastener/guard chk,"retightened, ok",P. Nair,2,closed
WO-1594,2026-07-02,PT-108,corrective,abnrml reading susp,"chkd, recalib",P. Nair,3,closed
WO-1084,2026-07-03,E-301,preventive,routine pm as per schedule,"completed, no abnrml found",A. Khan,8,closed
WO-1090,2026-07-03,E-301,preventive,paint touch-up,done,T. Bose,1,closed
WO-1497,2026-07-06,PT-108,preventive,lube top-up,"greased, ok",N. Rao,1,closed
WO-1298,2026-07-07,E-301,preventive,condition monitoring reading,"reading normal, filed",P. Nair,1,closed
